Name,Url,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
1117,https://www.zomato.com/jaipur/1117-jagatpura,Jagatpura,137 Dining Reviews,"3,418 Delivery Reviews",Casual Dining ,"North Indian, Fast Food",500,no,no,yes,yes,3.4,3.7
Feb-20,https://www.zomato.com/jaipur/feb-20-mansarovar,Mansarovar,30 Dining Reviews,231 Delivery Reviews,Quick Bites ,Fast Food,300,yes,no,yes,yes,3.4,3.8
#Jaipur Darbar,https://www.zomato.com/jaipur/jaipur-darbar-tonk-road,Pratap Nagar,18 Dining Reviews,126 Delivery Reviews,Quick Bites ,"North Indian, Mughlai, Chinese, Fast Food",500,no,no,yes,yes,3.5,3.8
#Underground Restro & Bar,https://www.zomato.com/jaipur/underground-restro-bar-vidhyadhar-nagar,Vidhyadhar Nagar,13 Dining Reviews,Does not offer Delivery,Bar ,"North Indian, Mughlai",700,no,yes,no,yes,3.1,
0141 Resturant,https://www.zomato.com/jaipur/0141-resturant-jagatpura,Jagatpura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,350,no,no,no,yes,,
100 Feet Above Restro Bar- The Fern Residency,https://www.zomato.com/jaipur/100-feet-above-restro-bar-the-fern-residency-adarsh-nagar,Adarsh Nagar,9 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, European","1,600",no,no,no,yes,3.4,
11 Haandi,https://www.zomato.com/jaipur/11-haandi-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Beverages, Fast Food",350,yes,no,yes,no,,
11 Haandi,https://www.zomato.com/jaipur/11-haandi-1-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Chinese, Italian",250,yes,no,yes,no,,
1135 AD,https://www.zomato.com/jaipur/1135-ad-amer,Amer,644 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Mughlai, Rajasthani","2,500",no,no,no,yes,4.1,
11MG,https://www.zomato.com/jaipur/11mg-mansarovar,Mansarovar,135 Dining Reviews,837 Delivery Reviews,CAFÉ ,Cafe,400,yes,no,yes,yes,3.8,3.9
12 Miles,https://www.zomato.com/jaipur/12-miles-tonk-road,Sitapur,11 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",450,no,no,yes,yes,3,
14 Tables,https://www.zomato.com/jaipur/14-tables-mi-road,MI Road,152 Dining Reviews,Not enough Delivery Reviews,"Casual Dining, Bar ","Continental, Chinese, North Indian, Italian","1,600",no,yes,yes,yes,3.7,
180 Degree - The Theme Hotel,https://www.zomato.com/jaipur/180-degree-the-theme-hotel-tonk-road,Sanganer,194 Dining Reviews,726 Delivery Reviews,"Casual Dining, Bar ","North Indian, Continental, Chinese","1,400",no,yes,yes,yes,3.8,3.9
1805 Restaurant,https://www.zomato.com/jaipur/1805-restaurant-jhotwara,Jhotwara,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Beverages",400,no,no,yes,yes,2.9,
1962 The Food Club,https://www.zomato.com/jaipur/1962-the-food-club-c-scheme,C Scheme,Not enough Dining Reviews,218 Delivery Reviews,Quick Bites ,"North Indian, Chinese",350,no,no,yes,yes,,4
1st Story - Four Points By Sheraton,https://www.zomato.com/jaipur/1st-story-four-points-by-sheraton-tonk-road,Gopalpura,81 Dining Reviews,Does not offer Delivery,Bar ,Finger Food,"2,500",no,yes,no,yes,3.9,
2 Countries,https://www.zomato.com/jaipur/2-countries-jawahar-nagar,Jawahar Nagar,10 Dining Reviews,Does not offer Delivery,Quick Bites ,Iranian,550,no,no,no,yes,3.6,
24/7 Restaurant- The LaLiT Jaipur,https://www.zomato.com/24-7RestaurantJaipur,Malviya Nagar,284 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,"North Indian, Continental, Asian, Italian","3,000",no,yes,yes,yes,4,
28 29 Eatup,https://www.zomato.com/jaipur/28-29-eatup-vaishali-nagar,Vaishali Nagar,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese",500,yes,no,yes,yes,3,
3 Bites,https://www.zomato.com/jaipur/3-bites-sodala,Sodala,18 Dining Reviews,27 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese",600,yes,no,yes,yes,3.4,3.5
3 D's Restro Lounge,https://www.zomato.com/jaipur/3-ds-restro-lounge-malviya-nagar,Malviya Nagar,607 Dining Reviews,Does not offer Delivery,"Casual Dining, Bar ","North Indian, Chinese, Italian, Continental, Beverages","1,600",no,yes,no,yes,3.7,
36 China Town,https://www.zomato.com/jaipur/36-china-town-sodala,Sodala,9 Dining Reviews,Does not offer Delivery,Quick Bites ,Chinese,500,no,no,no,yes,3,
365 Cafe,https://www.zomato.com/jaipur/365-cafe-malviya-nagar,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",400,yes,no,no,yes,,
3D Restro Lounge,https://www.zomato.com/jaipur/3d-restro-lounge-malviya-nagar,Malviya Nagar,301 Dining Reviews,Not enough Delivery Reviews,"Lounge, Pub ","North Indian, Fast Food, Italian, Chinese, Beverages","1,600",no,yes,yes,yes,3.8,
4 Friends Cafe,https://www.zomato.com/jaipur/4-friends-cafe-tonk-road,Durgapura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,150,no,no,yes,yes,,
5th Alley,https://www.zomato.com/jaipur/5th-alley-c-scheme,C Scheme,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Continental, American","1,500",no,no,yes,yes,,
60 ML,https://www.zomato.com/jaipur/60-ml-adarsh-nagar,Adarsh Nagar,158 Dining Reviews,Does not offer Delivery,Lounge ,"North Indian, Chinese, Finger Food, Bar Food","1,200",no,yes,no,yes,2.8,
7 No. Rasoi,https://www.zomato.com/jaipur/7-no-rasoi-jagatpura,Jagatpura,7 Dining Reviews,85 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",400,no,no,yes,yes,3,3.4
72 Singh Ka Dhaba,https://www.zomato.com/jaipur/72-singh-ka-dhaba-mansarovar,Mansarovar,18 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, North Indian, Beverages",450,yes,no,yes,yes,3.3,
777 Non-Veg Takeaway,https://www.zomato.com/jaipur/777-non-veg-takeaway-mansarovar,Mansarovar,59 Dining Reviews,325 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,yes,3.7,3.6
7th Heaven,https://www.zomato.com/jaipur/7th-heaven-mansarovar,Gopalpura,13 Dining Reviews,Not enough Delivery Reviews,Bakery ,"Bakery, Desserts, Fast Food, Beverages",350,yes,no,yes,yes,3.4,
8 Fumes,https://www.zomato.com/jaipur/8-fumes-mansarovar,Mansarovar,8 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food",400,yes,no,no,yes,2.8,
80N Restaurant,https://www.zomato.com/jaipur/80n-restaurant-vaishali-nagar,Vaishali Nagar,8 Dining Reviews,88 Delivery Reviews,Quick Bites ,"North Indian, South Indian, Fast Food, Chinese, Street Food",400,yes,no,yes,yes,3.2,3.5
90 Bata 3 The Desi Canteen,https://www.zomato.com/jaipur/90-bata-3-the-desi-canteen-mansarovar,Mansarovar,38 Dining Reviews,246 Delivery Reviews,Quick Bites ,"Street Food, Fast Food, North Indian, Beverages",300,yes,no,yes,yes,3.8,3.8
99 Healthy Meals,https://www.zomato.com/jaipur/99-healthy-meals-malviya-nagar,Malviya Nagar,Does not offer Dining,54 Delivery Reviews,,"Healthy Food, Biryani, Fast Food",200,no,no,yes,no,,2.2
999.pt Cafe - Restaurant,https://www.zomato.com/jaipur/999-pt-cafe-restaurant-tonk-road,Pratap Nagar,111 Dining Reviews,"2,537 Delivery Reviews",Quick Bites ,"North Indian, Fast Food",300,no,no,yes,yes,2.7,2.8
A Bajat Food,https://www.zomato.com/jaipur/a-bajat-food-sodala,Sodala,111 Dining Reviews,"2,537 Delivery Reviews",,Fast Food,150,no,no,yes,yes,,
A Chai Story,https://www.zomato.com/jaipur/a-chai-story-mansarovar,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Tea, Fast Food, Beverages",250,no,no,no,yes,,
A Little Pantry,https://www.zomato.com/jaipur/a-little-pantry-vaishali-nagar,Vaishali Nagar,Does not offer Dining,50 Delivery Reviews,,"North Indian, Beverages, Desserts",350,yes,no,yes,no,,3.9
A.D. Cafe,https://www.zomato.com/jaipur/a-d-cafe-sodala,Sodala,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Fast Food,200,no,no,no,yes,,
A-1 Chicken And Mutton,https://www.zomato.com/jaipur/a-1-chicken-and-mutton-chitrakoot,Chitrakoot,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
A1 Pinkcity Restaurant,https://www.zomato.com/jaipur/a1-pinkcity-restaurant-jagatpura,Jagatpura,Not enough Dining Reviews,36 Delivery Reviews,Casual Dining ,North Indian,600,no,no,yes,yes,,2.6
A2G All Together,https://www.zomato.com/jaipur/a2g-all-together-lal-kothi,Lal Kothi,496 Dining Reviews,"1,089 Delivery Reviews","CAFÉ, Dessert Parlor ","Cafe, Desserts, North Indian, Chinese, Frozen Yogurt",600,yes,no,yes,yes,4,3.6
A2G All Together,https://www.zomato.com/jaipur/a2g-all-together-shastri-nagar,North Jaipur,496 Dining Reviews,"1,089 Delivery Reviews",,"Fast Food, North Indian, Chinese, Beverages, Italian",300,no,no,yes,yes,,
Aale Ibrahim Hotel,https://www.zomato.com/jaipur/aale-ibrahim-hotel-pink-city,Pink City,101 Dining Reviews,44 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",350,no,no,yes,yes,3.8,3.9
Aamchi Jodhpur,https://www.zomato.com/jaipur/aamchi-jodhpur-1-sodala,Sodala,Does not offer Dining,Not enough Delivery Reviews,,Fast Food,100,no,no,yes,no,,
Aamrapali Resto Bar,https://www.zomato.com/jaipur/aamrapali-resto-bar-vaishali-nagar,Vaishali Nagar,7 Dining Reviews,Does not offer Delivery,Bar ,"Bar Food, North Indian",450,no,no,no,yes,3,
Aanandam Multi Cuisine Restaurant,https://www.zomato.com/jaipur/aanandam-multi-cuisine-restaurant-amer-road,Amer Road,8 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Mughlai, Continental","1,600",no,no,no,yes,2.9,
Aao Ji Khao Ji,https://www.zomato.com/jaipur/aao-ji-khao-ji-1-raja-park,Raja Park,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai, Chinese",600,no,no,yes,no,,
Aao Sa Pavitra Bhojnalaya,https://www.zomato.com/jaipur/aao-sa-pavitra-bhojnalaya-amer-road,Amer Road,5 Dining Reviews,39 Delivery Reviews,Dhaba ,North Indian,300,yes,no,yes,yes,3,3.7
Aapni Thali,https://www.zomato.com/jaipur/aapni-thali-tonk-road,Gopalpura,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,500,yes,no,yes,yes,2.9,
Aapno Cafe,https://www.zomato.com/jaipur/aapno-cafe-ajmer-highway,Ajmer Highway,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Beverages, Fast Food",250,no,no,yes,yes,3.1,
Aapno Gaon,https://www.zomato.com/jaipur/aapno-gaon-sikar-road,Sikar Road,126 Dining Reviews,Does not offer Delivery,Quick Bites ,Rajasthani,600,yes,no,no,yes,3.9,
Aapno Kabab,https://www.zomato.com/jaipur/aapno-kabab-jagatpura,Jagatpura,7 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,150,no,no,yes,yes,3.4,
Aarogosa Restaurant,https://www.zomato.com/jaipur/aarogosa-restaurant-tonk-road,Pratap Nagar,7 Dining Reviews,Does not offer Delivery,Fine Dining ,North Indian,"1,600",no,no,no,yes,2.7,
Aashima Momos,https://www.zomato.com/jaipur/aashima-momos-tonk-road,Pratap Nagar,12 Dining Reviews,Does not offer Delivery,Quick Bites ,Momos,300,yes,no,no,yes,3.2,
Aastha,https://www.zomato.com/jaipur/aastha-mansarovar,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Dhaba ,North Indian,200,yes,no,no,yes,,
Abdul Bari Old Take Away,https://www.zomato.com/jaipur/abdul-bari-old-take-away-1-mi-road,MI Road,216 Dining Reviews,"2,494 Delivery Reviews",Quick Bites ,North Indian,600,no,no,yes,yes,3.9,4.2
Abdul Bari Old Take Away,https://www.zomato.com/jaipur/abdul-bari-old-take-away-mi-road,MI Road,79 Dining Reviews,719 Delivery Reviews,Quick Bites ,North Indian,600,no,no,yes,yes,3.7,4.3
Abhimanyu Garden Restaurant,https://www.zomato.com/jaipur/abhimanyu-garden-restaurant-vaishali-nagar,Vaishali Nagar,7 Dining Reviews,Does not offer Delivery,"Casual Dining, Bar ","Bar Food, North Indian, Mughlai",900,no,no,no,yes,3.2,
Abhineet Zeeman,https://www.zomato.com/jaipur/abhineet-zeeman-gopalbari,Gopalbari,Not enough Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Street Food",600,yes,no,no,yes,,
Abhishek Pohaa Bhandaar,https://www.zomato.com/jaipur/abhishek-pohaa-bhandaar-shyam-nagar,Shyam Nagar,67 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,100,yes,no,no,yes,3.8,
About Vegan,https://www.zomato.com/about-vegan-food-truck,Vaishali Nagar,16 Dining Reviews,93 Delivery Reviews,Quick Bites ,"Healthy Food, Fast Food, North Indian, Street Food",300,yes,no,yes,yes,3.3,3.9
About Vegan,https://www.zomato.com/jaipur/about-vegan-shyam-nagar,Shyam Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Food Truck ,"Healthy Food, Fast Food, North Indian, Street Food",300,yes,no,yes,yes,,
Achaar Vichar,https://www.zomato.com/jaipur/achaar-vichar-sindhi-camp,Sindhi Camp,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Achanak Juice,https://www.zomato.com/jaipur/achanak-juice-malviya-nagar,Malviya Nagar,Does not offer Dining,"3,372 Delivery Reviews",Beverage Shop ,"Juices, Beverages",150,no,no,yes,no,,3.7
Achanak Juice Bar,https://www.zomato.com/jaipur/achanak-juice-bar-malviya-nagar,Malviya Nagar,Does not offer Dining,57 Delivery Reviews,Beverage Shop ,Beverages,100,no,no,yes,no,,3.7
Adams Pizza,https://www.zomato.com/jaipur/adams-pizza-malviya-nagar,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,Pizza,700,no,no,yes,no,,
Adda,https://www.zomato.com/jaipur/adda-sodala,Sodala,334 Dining Reviews,"3,696 Delivery Reviews",Quick Bites ,"South Indian, Chinese, North Indian",200,yes,no,yes,yes,3.8,4.1
Adda 2.0,https://www.zomato.com/jaipur/adda-2-0-malviya-nagar,Malviya Nagar,Does not offer Dining,91 Delivery Reviews,Quick Bites ,"South Indian, North Indian",300,no,no,yes,no,,3.8
Addictive Kurries,https://www.zomato.com/jaipur/addictive-kurries-sodala,Sodala,15 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Mughlai",400,no,no,yes,yes,3,
Adhinath Bakery,https://www.zomato.com/jaipur/adhinath-bakery-bapu-nagar,Bapu Nagar,Does not offer Dining,Not enough Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food, Beverages",200,yes,no,yes,no,,
Adil's Take Away,https://www.zomato.com/jaipur/adils-take-away-mansarovar,Mansarovar,228 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",300,no,no,yes,yes,3.9,
Aditya Bhojnalaya,https://www.zomato.com/jaipur/aditya-bhojnalaya-chitrakoot,Chitrakoot,20 Dining Reviews,39 Delivery Reviews,Quick Bites ,"North Indian, Rajasthani",300,yes,no,yes,yes,3.3,3.9
Adraq,https://www.zomato.com/jaipur/adraq-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,https://www.zomato.com/jaipur/adraq-1-malviya-nagar,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,https://www.zomato.com/jaipur/adraq-1-jagatpura,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,https://www.zomato.com/jaipur/adraq-1-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,https://www.zomato.com/jaipur/adraq-2-jagatpura,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Adraq,https://www.zomato.com/jaipur/adraq-2-malviya-nagar,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Mughlai",300,no,no,yes,no,,
Advance Canteen,https://www.zomato.com/jaipur/advance-canteen-tonk-road,Sanganer,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Street Food, Beverages",150,yes,no,no,yes,,
AFC Fried Chicken Restaurant,https://www.zomato.com/jaipur/afc-fried-chicken-restaurant-jhotwara,Jhotwara,9 Dining Reviews,Does not offer Delivery,Quick Bites ,Fast Food,200,no,no,no,yes,3.1,
Affetto Cafe,https://www.zomato.com/jaipur/affetto-cafe-gopalbari,Gopalbari,154 Dining Reviews,545 Delivery Reviews,Casual Dining ,"North Indian, Chinese, Fast Food, Beverages",650,no,no,yes,yes,2.8,3.4
A-Four,https://www.zomato.com/jaipur/a-four-2-shastri-nagar,Shastri Nagar,Does not offer Dining,117 Delivery Reviews,,Pizza,250,no,no,yes,no,,4.3
After 7 Resto & Bar,https://www.zomato.com/jaipur/after-7-resto-bar-mansarovar,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Bar ,North Indian,850,no,no,no,yes,,
After 8,https://www.zomato.com/jaipur/after-8-sansar-chandra-road,Sansar Chandra Road,Not enough Dining Reviews,Does not offer Delivery,"Lounge, CAFÉ ","Finger Food, Continental, Beverages","1,500",no,yes,no,yes,,
After Dark Restaurant,https://www.zomato.com/jaipur/after-dark-restaurant-khatipura-road,Khatipura Road,8 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,3.5,
Agarlico Cafe,https://www.zomato.com/jaipur/agarlico-cafe-mansarovar,Mansarovar,57 Dining Reviews,483 Delivery Reviews,Quick Bites ,Fast Food,400,yes,no,yes,yes,3.8,3.8
Agarwal Bakes & Bites,https://www.zomato.com/jaipur/agarwal-bakes-bites-khatipura-road,Khatipura Road,20 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,300,no,no,no,yes,2.9,
Agarwal Caterers,https://www.zomato.com/jaipur/agarwal-caterers-shastri-nagar,Shastri Nagar,Does not offer Dining,230.8K Delivery Reviews,"Sweet Shop, Bakery ","Mithai, Bakery",200,yes,no,yes,no,,4.4
Agarwal Caterers,https://www.zomato.com/jaipur/agarwal-caterers-vaishali-nagar,Vaishali Nagar,"2,381 Dining Reviews",104.6K Delivery Reviews,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Street Food, Chinese",500,yes,no,yes,yes,4.3,4.2
Agarwal Fast Food & Juice,https://www.zomato.com/jaipur/agarwal-fast-food-juice-vaishali-nagar,Vaishali Nagar,33 Dining Reviews,313 Delivery Reviews,Quick Bites ,"South Indian, Fast Food, Beverages",200,no,no,yes,yes,3.4,4.2
Agarwal Pavitra Bhojnalya,https://www.zomato.com/jaipur/agarwal-pavitra-bhojnalya-pink-city,Pink City,20 Dining Reviews,379 Delivery Reviews,Bhojanalya ,"North Indian, Rajasthani",350,yes,no,yes,yes,2.8,3.7
Agarwal Rasoi,https://www.zomato.com/jaipur/agarwal-rasoi-bani-park,Bani Park,Does not offer Dining,69 Delivery Reviews,,"North Indian, Healthy Food, Sandwich",300,yes,no,yes,no,,3.7
Agarwal Restaurant,https://www.zomato.com/jaipur/agarwal-restaurant-gopalbari,Gopalbari,25 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,250,yes,no,no,yes,3.3,
Agarwal Sweets,https://www.zomato.com/jaipur/agarwal-sweets-amer-road,Amer Road,Does not offer Dining,"1,692 Delivery Reviews",Sweet Shop ,Mithai,150,yes,no,yes,no,,3.7
Agarwal's Take Away,https://www.zomato.com/jaipur/agarwals-take-away-jhotwara,Jhotwara,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Street Food",300,no,no,yes,no,,
Agarwal's Take Away,https://www.zomato.com/jaipur/agra-chaat-bhandar-raja-park,Jhotwara,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Street Food",300,no,no,yes,no,,
Agra Chaat Bhandar,https://www.zomato.com/jaipur/agra-chaat-bhandar-1-raja-park,Raja Park,Does not offer Dining,Not enough Delivery Reviews,Quick Bites ,Street Food,150,no,no,yes,no,,
Agrawal Pizza And Bakery,https://www.zomato.com/jaipur/agrawal-pizza-and-bakery-vidhyadhar-nagar,Vidhyadhar Nagar,Does not offer Dining,52 Delivery Reviews,,"Pizza, Bakery",450,yes,no,yes,no,,3.9
Agrawal Thali and Fast Food,https://www.zomato.com/jaipur/agrawal-thali-and-fast-food-vidhyadhar-nagar,Vidhyadhar Nagar,Does not offer Dining,30 Delivery Reviews,,"Fast Food, North Indian",250,no,no,yes,no,,2.9
Ahimsagram,https://www.zomato.com/jaipur/ahimsagram-1-tonk-road,Sanganer,7 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,Healthy Food,400,no,no,yes,yes,3.6,
Airlift,https://www.zomato.com/jaipur/airlift-jagatpura,Jagatpura,29 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese",600,no,no,yes,yes,3.4,
Airport Cafe,https://www.zomato.com/jaipur/airport-cafe-tonk-road,Sanganer,12 Dining Reviews,76 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,yes,3.5,3.2
Ajab Gajab Chat Bhandar,https://www.zomato.com/jaipur/ajab-gajab-chat-bhandar-pink-city,Pink City,Not enough Dining Reviews,55 Delivery Reviews,Quick Bites ,"Fast Food, Chinese",300,no,no,yes,yes,,3.9
Ajay Juice Center And Fast Food,https://www.zomato.com/jaipur/ajay-juice-center-and-fast-food-mansarovar,Mansarovar,35 Dining Reviews,362 Delivery Reviews,"Beverage Shop, Quick Bites ","Beverages, Fast Food",300,yes,no,yes,yes,3.4,4
Ajeet Restaurant,https://www.zomato.com/jaipur/ajeet-restaurant-chitrakoot,Chitrakoot,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,no,no,no,yes,,
Ajmer Ki Prassidh Kari Kachori,https://www.zomato.com/jaipur/ajmer-ki-prassidh-kari-kachori-tonk-road,Durgapura,10 Dining Reviews,Does not offer Delivery,Quick Bites ,Street Food,150,no,no,no,yes,3.2,
Ajooba Pan Bhandar,https://www.zomato.com/jaipur/ajooba-pan-bhandar-bais-godam,Bais Godam,6 Dining Reviews,Does not offer Delivery,Paan Shop ,Paan,100,no,no,no,yes,3,
Akbari Hotel,https://www.zomato.com/jaipur/akbari-hotel-mi-road,MI Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Mughlai,200,no,no,no,yes,,
Aksay Nidhi Bakery,https://www.zomato.com/jaipur/aksay-nidhi-bakery-malviya-nagar,Malviya Nagar,Does not offer Dining,125 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food",350,no,no,yes,no,,4.1
Al Kareem Hotel,https://www.zomato.com/jaipur/al-kareem-hotel-jhotwara,Jhotwara,62 Dining Reviews,"1,855 Delivery Reviews",Quick Bites ,Mughlai,600,no,no,yes,yes,3,3.6
Al- Kareem Non Veg Hotel,https://www.zomato.com/jaipur/al-kareem-non-veg-hotel-pink-city,Pink City,8 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,2.8,
Al Madina Hotel,https://www.zomato.com/jaipur/al-madina-hotel-pink-city,Pink City,22 Dining Reviews,105 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,yes,3.1,4
Al Mohammadi,https://www.zomato.com/jaipur/al-mohammadi-mansarovar,Mansarovar,32 Dining Reviews,538 Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3.5,3.3
Al- Mujjammil Non-Veg Hotel,https://www.zomato.com/jaipur/al-mujjammil-non-veg-hotel-pink-city,Pink City,13 Dining Reviews,55 Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3.2,2.5
Al Noorani Chicken Biryani,https://www.zomato.com/jaipur/al-noorani-chicken-biryani-jhotwara,Jhotwara,56 Dining Reviews,222 Delivery Reviews,Quick Bites ,"Biryani, North Indian",200,no,no,yes,yes,3.6,3.9
Al Saifi Hotel,https://www.zomato.com/jaipur/al-saifi-hotel-pink-city,Pink City,49 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,no,no,no,yes,3.5,
Al Umar Take Away & Restaurant,https://www.zomato.com/jaipur/al-umar-take-away-restaurant-adarsh-nagar,Adarsh Nagar,296 Dining Reviews,"2,754 Delivery Reviews",Quick Bites ,"North Indian, Mughlai",450,no,no,yes,yes,3.9,3.7
Alag Che,https://www.zomato.com/jaipur/alag-che-bani-park,Bani Park,31 Dining Reviews,Does not offer Delivery,,Gujarati,500,yes,no,no,yes,3.5,
Al-Amaan Non Veg Take Away,https://www.zomato.com/jaipur/al-amaan-non-veg-take-away-pink-city,Pink City,26 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,400,no,no,no,yes,3.3,
Al-Habib Hotel,https://www.zomato.com/jaipur/al-habib-hotel-pink-city,Pink City,10 Dining Reviews,24 Delivery Reviews,Quick Bites ,"North Indian, Hyderabadi",500,no,no,yes,yes,3.5,3.7
Al-Habib Non Veg Take Away,https://www.zomato.com/jaipur/al-habib-non-veg-take-away-adarsh-nagar,Adarsh Nagar,Does not offer Dining,259 Delivery Reviews,,"Mughlai, North Indian",350,no,no,yes,no,,2.8
Ali Chicken Centre,https://www.zomato.com/jaipur/ali-chicken-centre-pink-city,Pink City,477 Dining Reviews,"1,171 Delivery Reviews",Quick Bites ,North Indian,350,no,no,yes,yes,4.2,4.1
Ali Fresh Chicken,https://www.zomato.com/jaipur/ali-fresh-chicken-tonk-road,Tonk Phatak,35 Dining Reviews,105 Delivery Reviews,Quick Bites ,Hyderabadi,500,no,no,yes,yes,3.4,3.2
Alibaba 40 Chor,https://www.zomato.com/jaipur/alibaba-40-chor-malviya-nagar,Malviya Nagar,15 Dining Reviews,320 Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,2.4,3.4
Ali's Chicken,https://www.zomato.com/jaipur/alis-chicken-mansarovar,Mansarovar,Does not offer Dining,370 Delivery Reviews,,North Indian,400,no,no,yes,no,,3.2
All Spices - Hotel Marigold,https://www.zomato.com/jaipur/keys-caf%C3%A9-hotel-marigold-tonk-road,Sitapur,34 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Continental, Asian, Rajasthani","1,200",no,yes,no,yes,3.3,
Al-Lazeez Chicken,https://www.zomato.com/jaipur/al-lazeez-chicken-tonk-road,Sanganer,12 Dining Reviews,164 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",150,no,no,yes,yes,3.2,2.7
Al-Naimat,https://www.zomato.com/jaipur/al-naimat-pink-city,Pink City,18 Dining Reviews,24 Delivery Reviews,Quick Bites ,"North Indian, Biryani",300,no,no,yes,yes,3.5,3.9
