Name,Url,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Kanha Veg Restaurant,https://www.zomato.com/jaipur/kanha-veg-restaurant-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Chinese",200,no,no,yes,no,,
Kanhaiya Lal Halwai,https://www.zomato.com/jaipur/kanhaiya-lal-halwai-mansarovar,Sanganer,111 Dining Reviews,Does not offer Delivery,Sweet Shop ,"Mithai, Street Food",400,yes,no,no,yes,3.7,
Kanhaiya Thali,https://www.zomato.com/jaipur/kanhaiya-thali-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Pizza, Beverages, Chinese",200,no,no,yes,no,,
Kanhaji Veg Restaurant,https://www.zomato.com/jaipur/kanhaji-veg-restaurant-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, South Indian",150,no,no,yes,no,,
Kanha's Thali,https://www.zomato.com/jaipur/kanhas-thali-sodala,Sodala,Does not offer Dining,28 Delivery Reviews,,North Indian,150,no,no,yes,no,,3.1
Kanhya Foods,https://www.zomato.com/jaipur/kanhya-foods-vidhyadhar-nagar,Vidhyadhar Nagar,Does not offer Dining,165 Delivery Reviews,,"North Indian, Chinese, Fast Food",250,no,no,yes,no,,4
Kaniram's Sweets & Restaurant,https://www.zomato.com/jaipur/kanirams-sweets-restaurant-mi-road,MI Road,20 Dining Reviews,Not enough Delivery Reviews,"Sweet Shop, Quick Bites ","Mithai, Street Food, North Indian, South Indian",600,yes,no,yes,yes,2.9,
Kaniram's Sweets & Restaurant,https://www.zomato.com/jaipur/kanirams-sweets-restaurant-sikar-road,Sikar Road,161 Dining Reviews,802 Delivery Reviews,Casual Dining ,"Mithai, Street Food, North Indian, South Indian",600,yes,no,yes,yes,3.9,3.9
Kanji,https://www.zomato.com/jaipur/kanji-sindhi-camp,Sindhi Camp,425 Dining Reviews,"1,255 Delivery Reviews","Casual Dining, Sweet Shop ","North Indian, South Indian, Fast Food, Mithai",600,yes,no,yes,yes,4,4.1
Kanji,https://www.zomato.com/jaipur/kanji-sikar-road,Sikar Road,350 Dining Reviews,776 Delivery Reviews,"Quick Bites, Sweet Shop ","North Indian, South Indian, Fast Food, Mithai",600,yes,no,yes,yes,3.8,4.3
Kanji Pavitra Bhojnalaya,https://www.zomato.com/jaipur/kanji-pavitra-bhojnalaya-amer-road,Amer Road,7 Dining Reviews,58 Delivery Reviews,Bhojanalya ,North Indian,300,no,no,yes,yes,2.9,3.9
Kanuda Sweets,https://www.zomato.com/jaipur/kanuda-sweets-khatipura-road,Khatipura Road,13 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,100,yes,no,no,yes,3.4,
Kanupriya's Dr Chef,https://www.zomato.com/jaipur/kanupriyas-dr-chef-jagatpura,Jagatpura,Does not offer Dining,59 Delivery Reviews,,"Italian, North Indian, Chinese",300,no,no,yes,no,,3.9
Kapoor's Kitchen,https://www.zomato.com/jaipur/kapoors-kitchen-mansarovar,Mansarovar,47 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,200,yes,no,yes,yes,3.7,
Karachi Bakery,https://www.zomato.com/jaipur/karachi-bakery-adarsh-nagar,Adarsh Nagar,Does not offer Dining,31 Delivery Reviews,Bakery ,Bakery,450,no,no,yes,no,,3.2
Karan Tandoori Dhaba,https://www.zomato.com/jaipur/karan-tandoori-dhaba-malviya-nagar,Malviya Nagar,90 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.7,
Karchee,https://www.zomato.com/jaipur/karchee-shyam-nagar,Shyam Nagar,Does not offer Dining,18 Delivery Reviews,,North Indian,600,no,no,yes,no,,3.9
Karim Baksh Roti & Boti Co.,https://www.zomato.com/jaipur/karim-baksh-roti-boti-co-mansarovar,Mansarovar,25 Dining Reviews,22 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese, Mughlai",500,no,no,yes,yes,3.3,3
Karim's,https://www.zomato.com/jaipur/karims-1-c-scheme,C Scheme,311 Dining Reviews,311 Delivery Reviews,Casual Dining ,"Mughlai, North Indian, Rolls, Beverages",800,no,no,yes,yes,3.2,3.5
Karma Kasuri,https://www.zomato.com/jaipur/karma-kasuri-brahmpuri,Brahmpuri,9 Dining Reviews,Does not offer Delivery,Casual Dining ,"Rajasthani, North Indian, Continental",900,no,no,no,yes,3.4,
Karni Spicy Veg & Non Veg Restaurant,https://www.zomato.com/jaipur/karni-spicy-veg-non-veg-restaurant-jhotwara,Jhotwara,7 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese",450,no,no,no,yes,3.3,
Karnot Mahal,https://www.zomato.com/jaipur/karnot-mahal-pink-city,Pink City,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Continental",700,no,no,yes,yes,,
Karodia Kachori,https://www.zomato.com/jaipur/karodia-kachori-pink-city,Pink City,20 Dining Reviews,Does not offer Delivery,,Street Food,100,no,no,no,yes,3.4,
Karwaan Kitchen,https://www.zomato.com/jaipur/karwaan-kitchen-1-civil-lines,Civil Lines,20 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Fast Food, Beverages",250,no,no,no,yes,,
